彩种名称,投注人数,投注金额,中奖金额,撤单金额,返点金额,盈利,盈率,source_file
传统3分赛车,3,176.00,132.66,0.00,0.00,43.34,24.63%,20200625.xls
腾讯3分彩,1,165.00,98.50,0.00,0.00,66.50,40.30%,20200625.xls
百人炸金花,2,160.00,0.00,0.00,0.00,160.00,100.00%,20200625.xls
3分彩,2,111.52,0.00,0.00,0.00,111.52,100.00%,20200625.xls
传统10分彩,1,40.00,65.64,0.00,0.00,-25.64,-64.10%,20200625.xls
射龙门,1,20.00,21.00,0.00,0.20,-1.20,-6.00%,20200625.xls
江苏11选5,2,14.00,0.00,0.00,0.00,14.00,100.00%,20200625.xls
1分幸运28,4,12.00,0.00,0.00,0.00,12.00,100.00%,20200625.xls
小计,,6120236.38,5791184.01,72835.32,9115.93,319936.44,5.23%,20200625.xls
1分快3,624,4906919.00,4570166.04,45629.00,12919.53,323833.43,6.60%,20200626.xls
极速快3,152,996442.00,956583.84,0.00,762.56,39095.60,3.92%,20200626.xls
龙虎斗,32,494830.00,469759.05,0.00,4512.98,20557.98,4.15%,20200626.xls
欢乐生肖,14,377242.44,307397.52,0.00,0.00,69844.92,18.51%,20200626.xls
3分快3,107,271992.00,272763.87,14598.00,611.30,-1383.17,-0.51%,20200626.xls
1分六合,24,108598.00,98779.27,310.00,981.56,8837.17,8.14%,20200626.xls
北京赛车,11,106847.00,94540.01,627.00,0.21,12306.78,11.52%,20200626.xls
1分彩,31,67413.84,64545.51,1884.52,279.99,2588.35,3.84%,20200626.xls
5分快3,33,61865.00,61417.38,2002.00,34.11,413.52,0.67%,20200626.xls
传统1分彩,27,54235.00,54159.16,801.00,24.95,50.89,0.09%,20200626.xls
万人牛牛,8,49599.00,46590.64,0.00,394.18,2614.18,5.27%,20200626.xls
1分赛车,23,42263.40,36396.22,271.60,73.18,5794.00,13.71%,20200626.xls
3分赛车,12,31872.22,26128.68,12.00,81.86,5661.68,17.76%,20200626.xls
疯狂飞艇,31,30517.90,28861.61,446.40,28.48,1627.82,5.33%,20200626.xls
腾讯时时彩,19,29727.90,32927.89,247.60,0.10,-3200.09,-10.76%,20200626.xls
传统欢乐生肖,6,24064.00,22055.02,0.00,344.56,1664.42,6.92%,20200626.xls
传统1分赛车,16,18103.00,17329.89,18.00,43.80,729.31,4.03%,20200626.xls
百人牛牛,15,15850.00,16700.15,0.00,37.68,-887.83,-5.60%,20200626.xls
六合秒秒,3,15818.00,15353.73,0.00,0.00,464.27,2.94%,20200626.xls
极速赛车,19,14774.38,16076.71,0.00,66.41,-1368.74,-9.26%,20200626.xls
万人红黑大战,4,14450.00,15820.00,0.00,0.44,-1370.44,-9.48%,20200626.xls
森林舞会,4,14355.00,10910.65,0.00,0.00,3444.35,23.99%,20200626.xls
传统北京赛车,7,12794.00,16862.85,112.00,0.20,-4069.05,-31.80%,20200626.xls
5分彩,3,12107.82,8128.60,40.00,227.55,3751.67,30.99%,20200626.xls
万人射龙门,4,9420.00,8857.00,0.00,0.00,563.00,5.98%,20200626.xls
1分11选5,17,9251.32,9107.10,122.00,24.91,119.31,1.29%,20200626.xls
奔驰宝马,4,8555.00,2513.10,0.00,0.00,6041.90,70.62%,20200626.xls
5分赛车,11,7698.38,8911.36,50.00,37.28,-1250.26,-16.24%,20200626.xls
北京快3,7,6868.00,8134.85,3494.00,25.45,-1292.30,-18.82%,20200626.xls
江苏快3,7,6866.00,6345.14,15.00,14.07,506.80,7.38%,20200626.xls
万人龙虎,16,6210.00,6252.10,0.00,6.22,-48.32,-0.78%,20200626.xls
贵州快3,7,5521.00,5659.16,30.00,23.71,-161.87,-2.93%,20200626.xls
红黑大战,4,5305.00,5742.00,0.00,0.00,-437.00,-8.24%,20200626.xls
广西快3,4,5096.00,5970.77,117.00,25.42,-900.19,-17.66%,20200626.xls
安徽快3,9,4956.00,7292.46,300.00,13.10,-2349.56,-47.41%,20200626.xls
百家乐,9,4875.00,5119.40,0.00,10.20,-254.60,-5.22%,20200626.xls
湖北快3,7,4861.00,3014.85,0.00,19.44,1826.71,37.58%,20200626.xls
吉林快3,8,3900.00,2576.86,20.00,27.06,1296.08,33.23%,20200626.xls
传统疯狂飞艇,3,3379.00,4431.04,0.00,2.40,-1054.44,-31.21%,20200626.xls
5分六合,2,2714.00,1967.79,246.00,5.49,740.72,27.29%,20200626.xls
河北快3,8,2474.00,3382.46,0.00,12.13,-920.59,-37.21%,20200626.xls
腾讯1.5分彩,3,2399.50,2098.64,0.00,0.00,300.86,12.54%,20200626.xls
梭哈,6,2270.00,1864.65,0.00,1.75,403.60,17.78%,20200626.xls
百人二八杠,1,2080.00,1722.60,0.00,0.00,357.40,17.18%,20200626.xls
腾讯3分彩,2,1846.12,2054.77,0.00,0.00,-208.65,-11.30%,20200626.xls
秒秒彩,2,1846.00,2200.13,0.00,0.00,-354.13,-19.18%,20200626.xls
山东11选5,11,1696.80,2470.17,220.00,3.99,-777.36,-45.81%,20200626.xls
万人炸金花,2,1550.00,1051.80,0.00,19.25,478.95,30.90%,20200626.xls
甘肃快3,4,1395.00,394.00,0.00,2.63,998.37,71.57%,20200626.xls
广东11选5,9,1368.20,1167.20,44.00,0.16,200.84,14.68%,20200626.xls
上海快3,6,1138.00,1295.54,0.00,2.87,-160.41,-14.10%,20200626.xls
百人炸金花,3,880.00,1128.60,0.00,0.00,-248.60,-28.25%,20200626.xls
澳门六合彩,5,508.00,1509.65,136.00,10.43,-1012.08,-199.23%,20200626.xls
百人德扑,1,430.00,455.40,0.00,0.00,-25.40,-5.91%,20200626.xls
江西11选5,3,419.88,217.62,0.00,3.46,198.81,47.35%,20200626.xls
上海11选5,5,375.20,381.15,4.00,0.00,-5.95,-1.59%,20200626.xls
江苏11选5,4,367.00,261.36,20.00,0.00,105.64,28.78%,20200626.xls
传统10分彩,2,299.00,437.60,0.00,0.20,-138.80,-46.42%,20200626.xls
1分幸运28,4,279.00,10.80,4.00,0.00,268.20,96.13%,20200626.xls
腾讯5分彩,1,243.40,39.40,0.00,0.00,204.00,83.81%,20200626.xls
传统5分赛车,3,224.00,221.20,0.00,0.28,2.52,1.13%,20200626.xls
飞禽走兽,2,165.00,80.00,0.00,0.00,85.00,51.52%,20200626.xls
骰宝,1,150.00,0.00,0.00,0.00,150.00,100.00%,20200626.xls
传统10分赛车,2,73.00,128.70,0.00,0.00,-55.70,-76.30%,20200626.xls
传统3分赛车,3,57.00,62.48,0.00,0.56,-6.04,-10.60%,20200626.xls
万人百家乐,2,40.00,39.50,0.00,0.00,0.50,1.25%,20200626.xls
射龙门,1,10.00,19.00,0.00,0.00,-9.00,-90.00%,20200626.xls
传统10分快3,1,1.00,1.98,0.00,0.00,-0.98,-98.00%,20200626.xls
小计,,7892741.70,7376845.67,71821.12,21718.09,494178.00,6.26%,20200626.xls
1分快3,592,5256363.00,4948840.65,91144.00,10867.44,296654.91,5.64%,20200627.xls
极速快3,146,998525.00,950107.20,0.00,4823.16,43594.64,4.37%,20200627.xls
北京赛车,10,223609.00,240448.10,1414.00,0.16,-16839.25,-7.53%,20200627.xls
3分快3,105,193264.00,191142.78,4840.00,604.01,1517.21,0.79%,20200627.xls
欢乐生肖,16,163539.46,146703.50,0.00,11.52,16824.44,10.29%,20200627.xls
传统1分彩,21,114374.00,102808.53,10750.00,143.18,11422.29,9.99%,20200627.xls
1分六合,23,103019.00,96301.37,73.00,150.11,6567.52,6.38%,20200627.xls
龙虎斗,31,77350.00,72316.70,0.00,148.81,4884.50,6.31%,20200627.xls
极速赛车,19,73292.20,79572.32,0.00,0.46,-6280.58,-8.57%,20200627.xls
澳门六合彩,5,51115.00,82785.74,10625.00,3.19,-31673.93,-61.97%,20200627.xls
1分彩,41,47989.02,46641.40,27.00,294.76,1052.86,2.19%,20200627.xls
5分快3,34,43087.00,50848.54,776.00,74.16,-7835.70,-18.19%,20200627.xls
万人红黑大战,6,34307.00,39554.00,0.00,3.72,-5250.72,-15.31%,20200627.xls
疯狂飞艇,24,28758.02,27625.08,620.80,19.99,1112.95,3.87%,20200627.xls
万人牛牛,5,20881.00,20503.97,0.00,67.20,309.83,1.48%,20200627.xls
腾讯时时彩,21,20578.12,23933.32,96.40,5.21,-3360.41,-16.33%,20200627.xls
安徽快3,21,19941.00,5922.12,209.00,16.18,14002.70,70.22%,20200627.xls
传统欢乐生肖,1,17712.00,17867.40,9.00,265.68,-421.08,-2.38%,20200627.xls
百家乐,6,16920.00,16963.65,0.00,0.00,-43.65,-0.26%,20200627.xls
传统1分赛车,10,16733.00,16397.86,110.00,48.70,286.44,1.71%,20200627.xls
3分赛车,12,14839.74,14836.47,54.00,4.69,-1.42,-0.01%,20200627.xls
百人牛牛,12,14655.00,15160.75,0.00,10.20,-515.95,-3.52%,20200627.xls
1分赛车,24,13229.16,13398.12,6.60,15.41,-184.37,-1.39%,20200627.xls
传统北京赛车,5,8107.00,7880.00,0.00,0.00,227.00,2.80%,20200627.xls
北京快3,3,7950.00,8861.72,500.00,17.63,-929.35,-11.69%,20200627.xls
腾讯1.5分彩,4,6805.20,5960.77,108.00,0.00,844.43,12.41%,20200627.xls
秒秒彩,5,6590.00,4288.18,0.00,0.00,2301.82,34.93%,20200627.xls
5分彩,4,5560.64,2749.78,0.00,109.28,2701.58,48.58%,20200627.xls
1分11选5,14,4437.44,3223.71,50.60,34.71,1179.03,26.57%,20200627.xls
1分幸运28,4,3983.00,2769.54,0.00,0.00,1213.46,30.47%,20200627.xls
传统疯狂飞艇,4,3914.00,4270.14,0.00,0.36,-356.50,-9.11%,20200627.xls
六合秒秒,4,3819.00,3020.58,0.00,13.31,785.11,20.56%,20200627.xls
万人射龙门,2,3740.00,3775.00,0.00,0.00,-35.00,-0.94%,20200627.xls
万人龙虎,15,3500.00,4121.80,0.00,3.40,-625.20,-17.86%,20200627.xls
吉林快3,9,3232.00,3306.07,0.00,21.48,-95.55,-2.96%,20200627.xls
江苏快3,8,2558.00,3136.60,0.00,3.33,-581.93,-22.75%,20200627.xls
广西快3,6,2533.00,3668.26,0.00,11.67,-1146.93,-45.28%,20200627.xls
红黑大战,7,2305.00,1569.35,0.00,2.75,732.91,31.80%,20200627.xls
万人炸金花,3,2300.00,1300.50,0.00,41.88,957.63,41.64%,20200627.xls
梭哈,3,2060.00,1441.90,0.00,0.10,618.00,30.00%,20200627.xls
山东11选5,13,2022.30,1240.34,94.00,2.66,779.30,38.54%,20200627.xls
湖北快3,4,1543.00,2949.09,0.00,7.63,-1413.72,-91.62%,20200627.xls
上海快3,3,1315.00,998.67,0.00,6.10,310.24,23.59%,20200627.xls
5分赛车,8,1200.20,588.05,0.00,1.15,611.00,50.91%,20200627.xls
江苏11选5,5,970.00,1068.72,0.00,0.00,-98.72,-10.18%,20200627.xls
传统3分赛车,3,957.00,1032.00,0.00,5.64,-80.64,-8.43%,20200627.xls
河北快3,7,837.00,1139.02,23.00,4.08,-306.10,-36.57%,20200627.xls
5分六合,1,818.00,1528.80,0.00,12.27,-723.07,-88.39%,20200627.xls
广东11选5,10,816.14,873.90,0.00,0.24,-58.00,-7.11%,20200627.xls
上海11选5,7,727.20,871.46,4.00,0.48,-144.74,-19.90%,20200627.xls
甘肃快3,5,638.00,245.75,1044.00,0.89,391.36,61.34%,20200627.xls
骰宝,2,630.00,731.60,0.00,0.00,-101.60,-16.13%,20200627.xls
腾讯3分彩,3,621.80,834.96,0.00,0.00,-213.16,-34.28%,20200627.xls
贵州快3,1,600.00,788.00,0.00,3.00,-191.00,-31.83%,20200627.xls
3分彩,3,583.06,434.10,0.00,0.00,148.96,25.55%,20200627.xls
飞禽走兽,1,520.00,80.00,0.00,0.00,440.00,84.62%,20200627.xls
江西11选5,5,438.60,260.04,12.00,2.83,175.73,40.07%,20200627.xls
森林舞会,1,330.00,204.50,0.00,0.00,125.50,38.03%,20200627.xls
腾讯5分彩,4,273.56,502.70,0.00,0.14,-229.28,-83.81%,20200627.xls
百人二八杠,2,195.00,118.80,0.00,0.00,76.20,39.08%,20200627.xls
传统5分赛车,2,135.00,198.00,0.00,0.00,-63.00,-46.67%,20200627.xls
传统10分赛车,1,132.00,0.00,0.00,0.00,132.00,100.00%,20200627.xls
射龙门,1,125.00,190.80,0.00,0.00,-65.80,-52.64%,20200627.xls
百人炸金花,1,45.00,0.00,0.00,0.00,45.00,100.00%,20200627.xls
台湾宾果,2,22.40,0.00,0.00,0.01,22.39,99.96%,20200627.xls
北京快乐8,1,20.00,0.00,0.00,0.00,20.00,100.00%,20200627.xls
奔驰宝马,1,20.00,99.00,0.00,0.00,-79.00,-395.00%,20200627.xls
百人三公,1,10.00,0.00,0.00,0.00,10.00,100.00%,20200627.xls
传统10分彩,1,3.00,0.00,0.00,0.12,2.88,96.00%,20200627.xls
小计,,7654023.26,7303001.77,122590.40,17885.08,333136.47,4.35%,20200627.xls
1分快3,576,5306387.00,4948771.72,81351.00,9841.18,347774.10,6.55%,20200628.xls
极速快3,143,1155177.00,1108279.05,0.00,2648.43,44249.52,3.83%,20200628.xls
3分快3,96,327384.00,328712.51,11397.00,526.92,-1855.44,-0.57%,20200628.xls
北京赛车,12,225776.66,224060.48,0.00,5.90,1710.28,0.76%,20200628.xls
欢乐生肖,16,198105.52,189601.56,5000.00,0.03,8503.93,4.29%,20200628.xls
传统1分彩,28,138599.00,136934.37,380.00,261.03,1403.60,1.01%,20200628.xls
5分快3,36,119187.00,131069.03,1636.00,88.97,-11971.00,-10.04%,20200628.xls
1分六合,26,108210.00,103175.43,606.00,127.55,4907.02,4.53%,20200628.xls
传统1分赛车,14,91558.00,82860.33,125.00,89.61,8608.06,9.40%,20200628.xls
万人红黑大战,7,69294.00,65565.42,0.00,1.23,3727.35,5.38%,20200628.xls
百人牛牛,9,57220.00,51489.40,0.00,0.30,5730.30,10.01%,20200628.xls
1分彩,44,54545.36,52380.43,462.10,206.22,1958.71,3.59%,20200628.xls
龙虎斗,27,54110.00,46389.55,0.00,96.68,7623.77,14.09%,20200628.xls
1分赛车,28,50898.84,51748.69,36.16,46.04,-895.89,-1.76%,20200628.xls
百家乐,9,50105.00,49298.35,0.00,2.40,804.25,1.61%,20200628.xls
腾讯时时彩,22,48630.44,51169.13,825.60,8.95,-2547.64,-5.24%,20200628.xls
万人牛牛,4,33607.00,32221.42,0.00,9.50,1376.08,4.09%,20200628.xls
万人龙虎,18,25755.00,21757.85,10.00,29.45,3967.71,15.41%,20200628.xls
极速赛车,19,25088.90,24835.63,0.00,37.62,215.66,0.86%,20200628.xls
传统欢乐生肖,4,18660.00,18712.81,0.00,242.76,-295.57,-1.58%,20200628.xls
江苏快3,9,13670.00,19568.10,1.00,6.33,-5904.43,-43.19%,20200628.xls
森林舞会,2,12750.00,10858.60,0.00,0.00,1891.40,14.83%,20200628.xls
1分幸运28,9,11399.00,11757.32,178.00,0.00,-358.32,-3.14%,20200628.xls
传统北京赛车,4,10638.00,11150.20,559.00,0.00,-512.20,-4.81%,20200628.xls
1分11选5,16,10457.62,10088.57,32.04,21.95,347.10,3.32%,20200628.xls
疯狂飞艇,30,10168.56,8349.80,24.00,48.74,1770.02,17.41%,20200628.xls
北京快3,3,8115.00,5732.66,160.00,37.53,2344.82,28.89%,20200628.xls
3分赛车,11,7163.14,6650.88,20.00,0.27,511.99,7.15%,20200628.xls
湖北快3,5,5951.00,5776.52,2100.00,22.21,152.27,2.56%,20200628.xls
六合秒秒,1,5532.00,7276.50,0.00,0.00,-1744.50,-31.53%,20200628.xls
腾讯1.5分彩,8,5520.66,4941.02,18.00,0.00,579.64,10.50%,20200628.xls
奔驰宝马,1,5470.00,5412.00,0.00,0.00,58.00,1.06%,20200628.xls
安徽快3,10,4652.00,4078.12,300.00,9.27,564.61,12.14%,20200628.xls
万人射龙门,4,4235.00,4560.20,0.00,0.00,-325.20,-7.68%,20200628.xls
江西11选5,5,3801.80,2932.44,0.00,0.48,868.88,22.85%,20200628.xls
江苏11选5,6,3384.08,3448.45,490.00,0.00,-64.37,-1.90%,20200628.xls
山东11选5,9,3271.60,4101.14,60.00,2.03,-831.57,-25.42%,20200628.xls
吉林快3,6,3211.00,5803.23,400.00,14.74,-2606.97,-81.19%,20200628.xls
传统疯狂飞艇,4,2603.00,2173.72,0.00,5.92,423.36,16.26%,20200628.xls
甘肃快3,4,2458.00,1624.78,201.00,8.29,824.93,33.56%,20200628.xls
腾讯3分彩,4,2414.40,1878.06,7.00,0.00,536.34,22.21%,20200628.xls
广东11选5,8,2397.70,2581.55,40.00,6.04,-189.89,-7.92%,20200628.xls
骰宝,2,2140.00,2930.40,0.00,0.00,-790.40,-36.93%,20200628.xls
传统3分赛车,6,2088.00,1812.27,20.00,1.20,274.53,13.15%,20200628.xls
3分彩,2,2068.40,1183.56,0.00,0.01,884.83,42.78%,20200628.xls
上海11选5,6,2044.60,1661.90,16.00,0.02,382.68,18.72%,20200628.xls
百人牌九,1,1875.00,1524.55,0.00,0.00,350.45,18.69%,20200628.xls
万人百家乐,3,1380.00,1470.50,0.00,0.00,-90.50,-6.56%,20200628.xls
澳门六合彩,6,1332.00,0.00,50.00,11.25,1320.75,99.16%,20200628.xls
河北快3,7,1247.00,689.44,643.00,6.10,551.47,44.22%,20200628.xls
传统10分赛车,2,1031.00,821.70,0.00,0.00,209.30,20.30%,20200628.xls
上海快3,3,1002.00,905.96,0.00,5.22,90.83,9.06%,20200628.xls
广西快3,5,743.00,941.53,0.00,3.49,-202.02,-27.19%,20200628.xls
百人二八杠,4,655.00,544.50,0.00,0.00,110.50,16.87%,20200628.xls
5分赛车,9,476.40,488.50,0.00,0.33,-12.43,-2.61%,20200628.xls
梭哈,3,445.00,19.90,0.00,0.40,424.70,95.44%,20200628.xls
5分彩,3,405.36,325.33,0.00,6.67,73.36,18.10%,20200628.xls
传统5分赛车,3,405.00,492.03,0.00,1.92,-88.95,-21.96%,20200628.xls
5分六合,2,390.00,1212.75,0.00,0.00,-822.75,-210.96%,20200628.xls
腾讯5分彩,2,172.40,145.82,0.00,0.00,26.58,15.42%,20200628.xls
红黑大战,2,80.00,39.70,0.00,0.00,40.30,50.38%,20200628.xls
台湾宾果,1,40.00,23.64,0.00,0.20,16.16,40.40%,20200628.xls
传统10分彩,1,36.00,5.70,0.00,1.44,28.86,80.17%,20200628.xls
飞禽走兽,1,30.00,20.00,0.00,0.00,10.00,33.33%,20200628.xls
秒秒彩,1,24.00,43.47,0.00,0.00,-19.47,-81.13%,20200628.xls
万人炸金花,1,20.00,0.00,0.00,0.50,19.50,97.50%,20200628.xls
射龙门,2,20.00,0.00,0.00,0.00,20.00,100.00%,20200628.xls
贵州快3,1,5.00,5.94,301.00,0.00,-0.94,-18.80%,20200628.xls
小计,,8317717.44,7877086.11,107448.90,14493.32,426138.05,5.12%,20200628.xls
1分快3,587,4835245.00,4624139.30,142700.00,18480.80,192624.90,3.98%,20200629.xls
极速快3,148,1680837.00,1621934.20,0.00,559.16,58343.65,3.47%,20200629.xls
百人牛牛,12,584225.00,538580.70,0.00,52.75,45591.55,7.80%,20200629.xls
1分赛车,31,428823.78,405051.33,2448.74,8.75,23763.70,5.54%,20200629.xls
北京赛车,13,217950.20,228229.46,2000.00,1.35,-10280.61,-4.72%,20200629.xls
3分快3,93,212934.00,210836.43,5132.00,589.77,1507.80,0.71%,20200629.xls
欢乐生肖,18,195617.66,238811.96,13502.00,0.03,-43194.33,-22.08%,20200629.xls
龙虎斗,31,124275.00,112535.40,10.00,641.21,11098.39,8.93%,20200629.xls
1分六合,26,86853.00,85514.81,348.00,40.41,1297.77,1.49%,20200629.xls
传统1分彩,24,75595.00,70229.92,3334.00,106.49,5258.59,6.96%,20200629.xls
1分彩,45,74641.90,72586.05,59.40,262.35,1793.50,2.40%,20200629.xls
腾讯时时彩,23,73751.54,70252.84,108.00,24.63,3474.07,4.71%,20200629.xls
传统1分赛车,15,60981.00,55381.15,61.00,92.85,5507.00,9.03%,20200629.xls
5分快3,40,58614.00,49324.47,999.00,48.52,9241.01,15.77%,20200629.xls
万人红黑大战,7,46163.00,44811.44,0.00,0.00,1351.56,2.93%,20200629.xls
极速赛车,26,35606.24,35037.32,0.00,65.07,503.86,1.42%,20200629.xls
百家乐,5,29985.00,31363.80,0.00,0.00,-1378.80,-4.60%,20200629.xls
红黑大战,6,24850.00,32714.40,0.00,1.13,-7865.53,-31.65%,20200629.xls
传统欢乐生肖,4,21674.00,23423.36,0.00,284.90,-2034.26,-9.39%,20200629.xls
万人牛牛,5,21136.00,19301.62,110.00,20.30,1814.08,8.58%,20200629.xls
疯狂飞艇,36,17975.28,15141.83,18.16,114.91,2718.54,15.12%,20200629.xls
万人射龙门,3,15120.00,13445.90,150.00,0.00,1674.10,11.07%,20200629.xls
万人龙虎,17,14540.00,18051.25,5.00,36.49,-3547.74,-24.40%,20200629.xls
传统北京赛车,6,13196.00,14085.50,81.00,0.00,-889.50,-6.74%,20200629.xls
森林舞会,2,11445.00,12787.75,0.00,0.00,-1342.75,-11.73%,20200629.xls
百人牌九,2,10470.00,9484.20,0.00,0.00,985.80,9.42%,20200629.xls
1分11选5,21,7679.50,7185.01,61.52,13.01,481.49,6.27%,20200629.xls
甘肃快3,4,6544.00,2612.85,806.00,16.02,3915.13,59.83%,20200629.xls
秒秒彩,2,6440.00,6274.91,0.00,0.00,165.09,2.56%,20200629.xls
奔驰宝马,2,5630.00,5494.50,0.00,0.00,135.50,2.41%,20200629.xls
腾讯1.5分彩,9,5344.44,4767.82,0.00,0.00,576.62,10.79%,20200629.xls
安徽快3,12,5090.00,5777.35,20.00,21.02,-708.37,-13.92%,20200629.xls
吉林快3,7,4747.00,5409.52,850.00,32.29,-694.81,-14.64%,20200629.xls
山东11选5,10,4068.00,5001.42,96.00,0.40,-933.82,-22.96%,20200629.xls
3分赛车,14,3933.54,3990.95,229.20,3.96,-61.37,-1.56%,20200629.xls
北京快3,6,3784.00,5021.52,10.00,12.43,-1249.95,-33.03%,20200629.xls
江苏快3,14,3651.00,4480.72,210.00,8.84,-838.56,-22.97%,20200629.xls
六合秒秒,1,3375.00,4365.90,0.00,0.00,-990.90,-29.36%,20200629.xls
上海快3,5,3118.00,3207.96,0.00,11.68,-101.64,-3.26%,20200629.xls
广西快3,9,2857.00,4428.43,80.00,9.71,-1581.14,-55.34%,20200629.xls
河北快3,10,2774.00,1752.82,531.00,12.45,1008.74,36.36%,20200629.xls
江苏11选5,4,2512.00,1864.37,176.00,0.00,647.63,25.78%,20200629.xls
骰宝,6,2500.00,3191.70,0.00,0.80,-692.50,-27.70%,20200629.xls
贵州快3,2,2436.00,2792.94,0.00,11.81,-368.75,-15.14%,20200629.xls
上海11选5,5,2144.20,2318.48,78.00,0.00,-174.28,-8.13%,20200629.xls
湖北快3,7,2036.00,1166.66,724.00,7.19,862.15,42.35%,20200629.xls
广东11选5,4,1839.60,1052.53,0.00,0.07,787.00,42.78%,20200629.xls
传统疯狂飞艇,5,1631.00,2306.97,0.00,2.80,-678.77,-41.62%,20200629.xls
江西11选5,5,1594.14,594.33,20.00,2.08,997.73,62.59%,20200629.xls
飞禽走兽,2,1305.00,1340.00,0.00,0.00,-35.00,-2.68%,20200629.xls
5分赛车,10,1192.24,835.66,0.00,0.68,355.89,29.85%,20200629.xls
5分彩,2,1026.44,1220.26,0.00,20.53,-214.35,-20.88%,20200629.xls
5分六合,2,962.00,504.78,0.00,0.00,457.22,47.53%,20200629.xls
澳门六合彩,6,848.00,1654.95,0.00,12.00,-818.95,-96.57%,20200629.xls
万人炸金花,1,630.00,633.60,0.00,15.75,-19.35,-3.07%,20200629.xls
百人二八杠,3,530.00,454.20,0.00,0.00,75.80,14.30%,20200629.xls
梭哈,3,495.00,255.65,0.00,0.00,239.35,48.35%,20200629.xls
万人百家乐,1,400.00,386.00,0.00,0.00,14.00,3.50%,20200629.xls
传统3分赛车,3,272.00,93.88,324.00,1.12,177.00,65.07%,20200629.xls
1分幸运28,6,161.00,26.61,0.00,0.00,134.39,83.47%,20200629.xls
腾讯3分彩,4,124.00,75.87,3.00,0.03,48.11,38.80%,20200629.xls
传统10分彩,2,79.00,74.84,18.00,0.92,3.24,4.10%,20200629.xls
传统10分赛车,1,23.00,45.54,0.00,0.00,-22.54,-98.00%,20200629.xls
传统5分赛车,1,19.00,17.10,0.00,0.76,1.14,6.00%,20200629.xls
腾讯5分彩,1,3.00,0.00,0.00,0.00,3.00,100.00%,20200629.xls
3分彩,1,0.36,0.00,0.00,0.00,0.36,100.00%,20200629.xls
小计,,9066303.06,8745734.99,175303.02,21650.22,298917.88,3.30%,20200629.xls
1分快3,614,8160421.00,7433059.74,142838.00,33573.73,693787.53,8.50%,20200630.xls
极速快3,146,2107217.00,2008923.79,0.00,906.13,97387.08,4.62%,20200630.xls
3分快3,89,222344.00,235388.68,16442.00,546.89,-13591.57,-6.11%,20200630.xls
1分赛车,32,122622.46,117494.94,316.48,63.36,5064.16,4.13%,20200630.xls
北京赛车,10,122252.60,140586.66,60.00,4.89,-18338.95,-15.00%,20200630.xls
欢乐生肖,17,117065.54,113363.10,226.00,0.05,3702.40,3.16%,20200630.xls
龙虎斗,35,110690.00,118366.50,0.00,565.82,-8242.32,-7.45%,20200630.xls
传统1分彩,25,109619.00,102118.23,5700.00,48.63,7452.14,6.80%,20200630.xls
澳门六合彩,7,79056.00,192199.82,60220.00,2.47,-113146.29,-143.12%,20200630.xls
1分六合,29,75763.00,71040.91,765.00,161.15,4560.94,6.02%,20200630.xls
百人牛牛,11,73635.00,61233.90,0.00,10.20,12390.90,16.83%,20200630.xls
5分快3,33,52957.00,46462.03,904.00,54.35,6440.63,12.16%,20200630.xls
百家乐,9,52680.00,45640.55,0.00,0.00,7039.45,13.36%,20200630.xls
万人红黑大战,7,50797.00,54330.57,0.00,0.90,-3534.47,-6.96%,20200630.xls
传统1分赛车,15,48240.00,45882.25,191.00,243.91,2113.84,4.38%,20200630.xls
1分彩,37,47127.46,44716.11,45.02,220.68,2190.68,4.65%,20200630.xls
万人牛牛,8,44879.00,49194.87,0.00,340.70,-4656.57,-10.38%,20200630.xls
奔驰宝马,3,37360.00,41637.90,0.00,0.00,-4277.90,-11.45%,20200630.xls
疯狂飞艇,27,35089.30,33524.55,123.60,30.89,1533.86,4.37%,20200630.xls
万人龙虎,12,33020.00,23026.30,10.00,22.73,9970.98,30.20%,20200630.xls
极速赛车,21,30989.44,31256.10,0.00,62.93,-329.59,-1.06%,20200630.xls
腾讯时时彩,17,30120.98,31007.57,116.80,14.99,-901.57,-2.99%,20200630.xls
传统欢乐生肖,5,27726.00,25672.20,0.00,368.87,1684.94,6.08%,20200630.xls
传统北京赛车,3,15990.00,15208.40,370.00,0.00,781.60,4.89%,20200630.xls
1分11选5,19,13823.00,13345.73,99.02,60.37,416.91,3.02%,20200630.xls
5分彩,3,11916.56,9681.99,0.00,237.10,1997.47,16.76%,20200630.xls
江苏快3,11,8184.00,12335.32,276.00,7.36,-4158.68,-50.81%,20200630.xls
六合秒秒,3,6586.00,11064.13,0.00,41.04,-4519.17,-68.62%,20200630.xls
北京快3,8,6505.00,2706.98,500.00,7.17,3790.86,58.28%,20200630.xls
山东11选5,6,6336.60,3714.62,118.00,6.40,2615.58,41.28%,20200630.xls
广东11选5,10,6153.80,1576.54,0.00,0.75,4576.51,74.37%,20200630.xls
吉林快3,5,5785.00,3478.88,200.00,40.24,2265.88,39.17%,20200630.xls
甘肃快3,7,5472.00,3128.65,0.00,10.15,2333.21,42.64%,20200630.xls
百人牌九,1,4080.00,3841.20,0.00,0.00,238.80,5.85%,20200630.xls
河北快3,9,3836.00,1818.56,9.00,16.07,2001.38,52.17%,20200630.xls
万人射龙门,2,3600.00,3304.40,0.00,0.00,295.60,8.21%,20200630.xls
