彩种名称,投注人数,投注金额,中奖金额,撤单金额,返点金额,盈利,盈率,source_file
5分赛车,9,1379.60,757.14,636.00,0.60,621.86,45.08%,20200604.xls
传统10分赛车,1,1099.00,1029.60,0.00,0.00,69.40,6.31%,20200604.xls
传统3分赛车,3,1095.00,1213.74,0.00,0.00,-118.74,-10.84%,20200604.xls
万人红黑大战,4,812.00,981.44,0.00,1.17,-170.61,-21.01%,20200604.xls
万人炸金花,1,650.00,768.30,0.00,0.00,-118.30,-18.20%,20200604.xls
江西11选5,6,624.00,1006.24,52.00,0.22,-382.46,-61.29%,20200604.xls
百人二八杠,2,615.00,633.60,0.00,0.00,-18.60,-3.02%,20200604.xls
5分六合,4,551.00,49.58,0.00,0.60,500.82,90.89%,20200604.xls
3分彩,4,493.60,400.57,0.00,0.00,93.03,18.85%,20200604.xls
百人炸金花,2,480.00,386.10,0.00,0.00,93.90,19.56%,20200604.xls
奔驰宝马,1,440.00,396.00,0.00,0.00,44.00,10.00%,20200604.xls
射龙门,2,395.00,219.20,0.00,0.20,175.60,44.46%,20200604.xls
骰宝,4,350.00,297.00,0.00,0.90,52.10,14.89%,20200604.xls
万人百家乐,2,345.00,264.70,0.00,0.22,80.08,23.21%,20200604.xls
上海11选5,8,323.20,473.66,30.00,0.20,-150.67,-46.62%,20200604.xls
百人三公,2,290.00,99.00,0.00,0.00,191.00,65.86%,20200604.xls
传统5分赛车,2,181.00,7.92,0.00,0.00,173.08,95.62%,20200604.xls
1分幸运28,7,107.00,28.80,0.00,0.00,78.20,73.08%,20200604.xls
传统10分快3,1,100.00,195.00,0.00,1.00,-96.00,-96.00%,20200604.xls
决战梭哈,1,35.00,8.10,0.00,0.00,26.90,76.86%,20200604.xls
传统10分彩,1,28.00,27.72,0.00,0.00,0.28,1.00%,20200604.xls
飞禽走兽,1,5.00,0.00,0.00,0.00,5.00,100.00%,20200604.xls
10分六合,1,1.00,1.98,0.00,0.00,-0.98,-98.00%,20200604.xls
小计,,8597603.44,8344942.41,95298.14,17568.94,235092.13,2.73%,20200604.xls
1分快3,721,6337712.00,5905619.18,180628.00,8303.58,423789.24,6.69%,20200605.xls
极速快3,181,702271.00,676957.07,0.00,3444.43,21869.50,3.11%,20200605.xls
龙虎斗,36,282895.00,274641.20,0.00,1214.71,7039.10,2.49%,20200605.xls
3分快3,158,237881.00,241751.10,44131.00,391.42,-4261.52,-1.79%,20200605.xls
欢乐生肖,13,131639.00,115610.40,400.00,0.00,16028.60,12.18%,20200605.xls
传统1分彩,23,118932.00,113226.63,70.00,68.98,5636.40,4.74%,20200605.xls
1分六合,21,87454.00,82488.41,10.00,0.00,4965.59,5.68%,20200605.xls
1分赛车,31,85024.74,86159.69,1374.80,100.44,-1235.39,-1.45%,20200605.xls
1分彩,42,64776.30,65605.29,227.00,378.66,-1207.66,-1.86%,20200605.xls
5分快3,52,50246.00,60367.99,1093.00,26.50,-10148.49,-20.20%,20200605.xls
腾讯时时彩,26,49724.48,44562.84,13.36,0.34,5161.31,10.38%,20200605.xls
极速赛车,23,44091.58,42558.60,0.00,135.10,1397.88,3.17%,20200605.xls
传统1分赛车,14,43206.00,37036.65,2199.00,94.05,6075.30,14.06%,20200605.xls
